#,Track,What I call it,How much I care,Full title,Who wrote it,Year,Where it came out,Is that a good place to publish?,How many people cite it,Where they're from,Link,Did I actually read it?,What problem were they solving,Who they built it for,What data they used,How much of it,Can I download their work?,Did they follow a proper method?,How many classes,How many properties,The classes worth knowing about,The properties worth knowing about,Any rules or clever definitions,How the data got in,What software they used,How it actually recommends things,Reasoner,SPARQL?,Did they link to outside data,How they tested it,The numbers they got,Do the numbers back up the claim?,What I'm taking from it,"What I'm leaving, and why",What they can't do that I can,The idea nobody would expect,Where this goes in my chapter
1,B,Moe & Aung,Read closely,Building Ontologies for Cross-domain Recommendation on Facial Skin Problem and Related Cosmetics,"K. S. M. Moe, T. N. Aung",2014,Int. Journal of Information Technology and Computer Science 6(6) 33-39,"Weak. A low barrier journal. Say so plainly if asked; I cite it for its method, not its standing","3 (2014 version), 8 (2016 reprint)","Univ. of Technology Yatanarpon Cyber City + Univ. of Computer Studies Yangon, Myanmar",https://www.mecs-press.org/ijitcs/ijitcs-v6-n6/v6n6-5.html,"Read the whole PDF, it's in our repo","A user has a facial skin problem and needs a cosmetic. The problem and the products live in two different worlds, so how do you bridge them",Consumers with a skin complaint,None stated. This is the paper's biggest weakness,Not reported anywhere in the paper,"No. No link, no repository, no address. The ontology exists only as figures","No name given, but it is METHONTOLOGY in all but name: an eight task procedure",They never say,They never say,"SkinProblem, Symptom, Cause, Cosmetics, and ContextualFeatures which holds PlaceZone, AgeLevel, CosmeticsBrand, Season, PriceRange","hasIngredients, hasIngValue, isNextRelatedTo, hasSymptom, hasCause","None. No defined classes, no rules",Not reported. Almost certainly typed in by hand in Protege,Protege,"Three stages. Conversational questioning narrows a vague query to a definite problem, then problem and products go into a weighted graph, then Ford-Fulkerson maximum flow scores each product. Highest flow wins",None. An ontology paper that never actually reasons,No,None,"Precision, recall and F-measure, plotted against a cut-off they call alpha",Product flow weights from 0.38 to 0.70. No dataset size given,"No. They claim to beat related work but there is no comparison table, no baseline and no dataset size","The eight task checklist, especially task 1, a glossary of every term with its synonyms. Also their ContextualFeatures class: price and place describe a product as sold somewhere, not the product itself","Ford-Fulkerson. My products already carry availability, price and evidence level, so a weighted filter does the same job with less machinery","Their ingredients are free text with a number attached and no register behind them. Nothing in their model can say an ingredient is regulated. Mine can, on 99.2% of products with a formula","Their throwaway Season class. Beirut summer is humid and coastal, winter is dry, so a gel cleanser right in August is wrong in January. Nobody in my whole review models climate, and Lebanon has a genuinely seasonal skin problem","Section 3.2, first competitor"
2,B,OntoCosmetic (Serna),Read closely,Towards an ontology-based decision support system for the design of emulsion-based cosmetic products,"J. Serna, V. Falk, P. Perre, M. Camargo, S. Morel",2021,Computer Aided Chemical Engineering (ESCAPE),Respectable chemical engineering proceedings,They never say,"Universite de Lorraine (ERPI-ENSGSI, LRGP), France + Universidad Nacional de Colombia",https://purl.org/ontocosmetic,Full PDF plus the OWL file itself,Help a formulator design a stable emulsion by encoding what makes creams work,Cosmetic formulators and R&D chemists,"Emulsion science principles, expert knowledge, ingredient databases typed by function, and heuristics",279 individuals in the published file,YES. The only cosmetics ontology in my whole review that is publicly downloadable. purl.org/ontocosmetic,"None stated, but the four building-block structure is deliberate",116 (I counted them in the file),"26 object, 20 data (counted)","HLB, DropletSize, Rheology, AqueousThickeners, OWCosmeticEmulsion, HeuristicForSurfactant, MeltingPoint, Emollient_Dosage. Ingredient types: Emollient, Surfactant, Thickener, Active, Preservative, UvFilter, Humectant, Antioxidant, Stabilizer, PHRegulator","hasHeuristicHighThreshold, hasHeuristicLowThreshold, hasHeuristicSource, hasOrigin (natural or synthetic)",SWRL rules written in Protege for the formulation heuristics,"By hand, by experts. 279 individuals typed in. Fine at 279, impossible at 12,629",Protege with SWRL,It does not recommend to a shopper. It checks whether a formulation you propose satisfies the heuristics,"Yes, via SWRL in Protege",No,None,A case study: they design a moisturising cream with it,"No accuracy, no precision, no user study","It is a demonstration, not an evaluation, and they present it as such","The ingredient function names, the split between product properties and ingredient properties, hasOrigin, and above all hasHeuristicSource which records where each RULE came from. That is provenance applied to rules","The whole emulsion science branch: HLB, droplet size, rheology, dosage. Manufacturers never publish it and I will never have it. Also importing the file, since I need 10 of 116 classes","It models how to make a cream. It cannot say whether you can buy one in Beirut, what it costs, or whether the claim on the box came from the manufacturer","Invert their direction. They answer 'given a goal, what goes in the cream'. My 295,991 ingredient mentions with functions attached could answer 'given what is in the cream, what was the formulator trying to do'. Infer formulation strategy from the market, then test it against their heuristics","Section 3.3, part one"
3,B,Formultools (Gabriel),Read closely,An ontology-based mobile application to support cosmetic product design decisions (Formultools),"A. Gabriel, M. Camargo, S. Morel, J. Serna",2023,"Computer Aided Chemical Engineering, ESCAPE-33",Respectable chemical engineering proceedings,They never say,"Universite de Lorraine, France",https://purl.org/ontocosmetic,"Read the whole PDF, it's in our repo",Turn OntoCosmetic into software a formulator can actually use,Cosmetics formulation experts,The OntoCosmetic knowledge base,Same 279 individuals,The underlying ontology is public; the app is described but I found no download,"Yes: the five planes user-centred design method (Garrett 2011), with co-design and iterative usability testing",Inherits OntoCosmetic's 116,Inherits OntoCosmetic's 46,Same as OntoCosmetic,Same as OntoCosmetic,Same SWRL heuristics,"Inherited from OntoCosmetic, no new population",Cross-platform mobile app on top of the ontology,"Three decisions: screen ingredients by property, select ingredients against several criteria at once (performance, origin, price), and check a proposed formulation against the heuristics. They cite the Analytic Hierarchy Process for the multi-criteria part",They never say,No,None,"AttrakDiff questionnaire (Lallemand et al. 2015) between design iterations, with non-expert testers",No accuracy figures. They stopped iterating when non-expert testers stopped finding problems,"No, and they say so themselves. Their conclusion states expert testing was still future work","The design process: co-design with domain experts, iterate, measure each iteration with a standard instrument. Also AttrakDiff as a cheap named evaluation tool","The mobile app itself. My deliverable is the ontology and the graph, not an application",The most technically serious cosmetics ontology in the literature was never validated with experts. Mine will have a four-layer evaluation,They measured user experience with a standard instrument and reported it. Almost nobody in my review reports any named evaluation instrument. Borrowing one costs an afternoon and puts me ahead of the field,"Section 3.3, part two"
4,B,Hansanie & Silva,Read closely,Ontology based Machine Learning Approach for Facial Skincare Products Recommendation,"M. Hansanie, T. Silva",2024,IEEE Int. Conference on Image Processing and Robotics (ICIPRoB) 2024,"IEEE conference. Decent standing, better than most in this row",2,Sri Lanka,https://consensus.app/papers/details/a76d6c9238dd52a3b3b12bdb93addb5b/,"Read the whole PDF, it's in our repo",Recommend facial skincare by combining a photograph of the user's face with an ontology of products,"Consumers, especially with acne","Dermatologist interviews, a survey of 21 people aged 21-30, and facial images for the CNN","21 survey respondents for vocabulary, 24 for evaluation. Product count not reported",No link given anywhere in the paper,"No name given. Built top down: general classes first, specific ones underneath",They never say,They never say,"Product, TreatmentProduct, AcneControlCleanser, SkinType, OilySkin, KeyIngredient, SalicylicAcid, Person, ProductRecommendation","suitableFor, hasKeyIngredient, hasProductRecommendation, hasAge, hasGender, hasRating","None reported, but Pellet is used for consistency checking","Not clearly reported. The spreadsheet to ontology step is described as a design step, not an automated one","Protege to build, Pellet to reason, Owlready2 to query from Python, Tkinter for the interface","A CNN grades acne severity from a photo. That grade is written into the ontology as a fact about the user. Pellet classifies. Owlready2 pulls the answer out. The image model and the knowledge stay separate, so either can be swapped",Pellet,"Indirectly, through Owlready2",None,"CNN accuracy on a test set, plus a satisfaction survey of 24 people",CNN accuracy 77.5%. Survey satisfaction 87.5% of 24 people,"Partly. The headline 87.5% is user satisfaction, NOT system accuracy. There is no baseline and no ground-truth set of correct recommendations. Quoting this correctly in my thesis is itself a small mark of quality","Three separate ontologies merged, because the three parts change at completely different speeds. A reasoner from day one. Ratings held inside the ontology. Owlready2, since my pipeline is Python","The CNN. I have no facial photographs, no ethical approval to collect any, and my contribution is the product side. Their layered design means vision could be added later without touching anything else","They consulted dermatologists and I have not, so this is a gap in MY favour reversed. But they cannot say a product is stocked in Beirut, costs eleven dollars, and contains a restricted preservative","Their architecture has an empty socket where the sensor plugs in. They put a CNN in it. I could put a BARCODE in it. A shopper in a Beirut pharmacy scans the box and asks 'does this suit me, and is it cheaper next door'. That uses my price and availability columns, needs no ethics approval and no image dataset","Section 3.1, lead with this"
5,B,Abesova (VU Amsterdam),Read closely,Skincare Ontology for Personalised Recommendation,"S. Abesova, K. Hajkova, Y. Ramadan, M. Zdych",2023,"Vrije Universiteit Amsterdam, Knowledge and Data course, Group 31",A STUDENT PROJECT. Not peer reviewed. I must say this when I cite it,0,"Vrije Universiteit Amsterdam, Netherlands",In repo/papers/,"Read the whole PDF, it's in our repo","Recommend a full skincare routine from four user inputs: skin type, skin tone, country, and how complicated a routine they will tolerate",Consumers,"Sephora product and review data scraped to CSV, a second CSV of countries with Sephora shops, and DBpedia","36 classes, 6 object properties, 6 data properties",Not stated as published,"Yes: middle out. Start with concepts you are sure of, work outward in both directions. Explicitly iterative",36,"6 object, 6 data","Category (Cleanser, Moisturizer, Treatment; Treatment splits into Exfoliant with Chemical and Physical, Serum, Toner; SPF sits under Moisturizer), Product with four skin-type subclasses, Skin Type, Skin Tone with nine values, Brand, Country, Rating Stars, Review Id","hasBrand, hasCategory, hasSkinType, hasSkinTone, aboutProduct, hasReviewId, hasRating, hasOilyScore, hasDryScore, hasNormalScore, hasCombinationScore, hasSephoraWebPage","YES, and this is the single most important idea in my whole review. OilySkinProducts is DEFINED as 'hasOilyScore value 5'. They never tag a product; the reasoner works out membership","OntoRefine turned the scraped CSV into RDF by mapping columns to classes. This is a real tool, not a script","OntoRefine, GraphDB, DBpedia via an external SPARQL endpoint","It is a set of SPARQL queries, not code. Class restrictions put products into skin-type classes automatically, then queries assemble a routine","Yes, through GraphDB's class restrictions","YES, it IS the mechanism","DBpedia. dbr:Czech_Republic gave them the country AND the latitude/longitude of its capital for a map, without typing any of it",One worked example. No metrics,"9 recommended products for one user, three per category","No. One example, no metrics, and they admit the interface was rushed and shows raw URIs instead of product names","THE DEFINED CLASS. State the rule once instead of tagging 4,000 rows. Also OntoRefine as a population tool, and DBpedia linking to get data free",Their reliance on review scores as the basis for class membership. Mine will rest on the formula,"Their limitation 3, in their own words: 'class restrictions based on ingredients could be developed. This would ensure a more symbolic and chemical approach, compared to the statistical one that is currently employed.' MY CONTRIBUTION IS WRITTEN AS FUTURE WORK IN THEIR PAPER","They pulled PLACE out of DBpedia and got a map. I can pull CORPORATE OWNERSHIP out of Wikidata. My 1,463 brands belong to far fewer parent companies. That gives me market concentration in Lebanon, detection of two prices from one manufacturer, and the question a shopper in a currency crisis actually asks: is there a cheaper equivalent from the same maker","Section 3.4, the mechanism section"
6,B,bit-Tech 2025,URGENT - get the PDF,Personalized Skincare Recommendation System Based on Ontology and User Preferences,Not yet confirmed - I only have the abstract,2025,"bit-Tech, Komunitas Dosen Indonesia",Regional Indonesian journal. Modest standing but the work is directly comparable to mine,They never say,Indonesia,https://jurnal.kdi.or.id/index.php/bt/article/view/2857,ABSTRACT AND PUBLISHER PAGE ONLY. I have not read the full paper. This is my closest competitor so I must fix that,"Traditional content-based and collaborative filtering miss the semantic links between skin types, concerns and ingredients. They use an ontology to capture them",Indonesian skincare consumers,"Web scraping of Sociolla, Beautyhaul and SKINSORT. Note: Skinsort is the same global source I used","Over 3,800 products and over 28,000 ingredients",Not stated in the abstract. CHECK when I get the PDF,"YES, METHONTOLOGY, named explicitly",12,More than 25 object properties,"User, Product, Brand, Product Category, Allergen Type, Ingredient, Benefit, Formulation Trait, Key Ingredient, Skin Concern, Skin Type, What It Does",Abstract doesn't go into it,Abstract doesn't say,Web scraping into the ontology. Whether a mapping language was used is not stated. FIND OUT,Apache Jena Fuseki,"SPARQL over the ontology with semantic reasoning, per the abstract",Via Jena Fuseki inference,Yes,None mentioned,Not clear from the abstract,Not clear from the abstract,Can't tell without the full paper,"Two class names I would not have thought of: Formulation Trait and What It Does. That split IS my evidence problem in class form. What It Does is the marketing claim; Formulation Trait is the physical property. One is asserted by a seller, the other is derivable from the formula",Their market and their allergen handling,"Four things: they cover Indonesia, I cover Lebanon where availability itself is uncertain; their allergen class is locally defined, mine links to the statutory EU register of 28,573 entries; they model no price, availability or provenance; and they have 3,800 products against my 12,629",Adopt their two class names but attach my evidence levels to What It Does and my CosIng derivation to Formulation Trait. The result is a model that states openly which half of a product description is advertising,"Section 3.5, the closest competitor"
7,B,Utari (JELIKU),Skim only,Pengembangan Ontologi Semantik Pada Domain Produk Kosmetik (Developing a Semantic Ontology in the Cosmetic Product Domain),N. N. R. D. Utari et al.,2023,"JELIKU, Jurnal Elektronik Ilmu Komputer Udayana",Small regional journal,0,"Universitas Udayana, Indonesia",https://consensus.app/papers/details/9f025755693f50298a45b5c165537fbc/,I only read the abstract,"Too many cosmetic products on the market, so buyers cannot choose. Use a semantic ontology to help",Indonesian cosmetics buyers,"Cosmetic product data, source not specified in the abstract","3 classes, 5 object properties, 62 individuals",They don't say,"YES, METHONTOLOGY",3,5 object properties,Abstract doesn't go into it,Abstract doesn't go into it,None stated,They don't say,They don't say,Not a recommender as such. Evaluated by running SPARQL queries,They never say,Yes,None,SPARQL queries returning appropriate results,No metrics beyond 'queries gave appropriate results',It is a proof of concept and does not claim more,Almost nothing technically. Its value is as a scale comparison,"Everything else, honestly",62 individuals against my roughly 1.8 million triples. Putting both in one table makes my scale visible without me having to claim anything,"This plus Mahadewi shows the Indonesian group is building a SERIES, so the bit-Tech paper is part of a programme, not a one-off. That is worth knowing about my closest competitor",Comparison table only
8,B,Mahadewi (JELIKU),Skim only,Penerapan Algoritma Slope One dalam Collaborative Filtering (Body care product recommendation using ontology and collaborative filtering),I. A. Mahadewi et al.,2024,"JELIKU, Jurnal Elektronik Ilmu Komputer Udayana",Small regional journal,0,"Universitas Udayana, Indonesia",https://consensus.app/papers/details/a7956ce9d21f5d6b806688eb6cec7cb8/,I only read the abstract,"Body care product information online is often irrelevant or inaccurate, so build a recommender on an ontology knowledge base",Indonesian body care buyers,Body care product data mapped into an ontology,They don't say,They don't say,"YES, METHONTOLOGY. System built with Prototyping",They never say,They never say,They don't go into it,They don't go into it,None stated,They don't say,They don't say,Collaborative filtering (Slope One algorithm) over an ontology knowledge base,They never say,They don't say,None,Two instruments: System Usability Scale (SUS) and Mean Absolute Error (MAE),SUS 82.344 (good). MAE 0.3556 (closer to 0 is better),Reasonable for what it claims. Two named instruments is more than most papers in my review manage,"The two evaluation instruments. SUS in particular is standard, cheap and would strengthen any interface I build",Slope One and collaborative filtering. I have no user ratings matrix,"They still model no regulator, no provenance and no availability","They report MAE and SUS. In a field where a 137-citation review found that NONE of 28 studies described an evaluation methodology, simply naming your instruments is a differentiator","Comparison table, evaluation column"
9,B,TOXIN KG,Read closely,The TOXIN knowledge graph: supporting animal-free risk assessment of cosmetics,S. Sepehri et al.,2025,"Database: The Journal of Biological Databases and Curation, Oxford University Press","STRONG. Oxford Academic, peer reviewed, open access. Better than every skincare recommendation paper in my review",4,"Vrije Universiteit Brussel and partners, Belgium",https://doi.org/10.1093/database/baae121 | live at https://toxin-search.netlify.app/,Read the whole thing,The EU banned animal testing for cosmetics but validated replacements are missing. Make existing safety data reusable so risk can be assessed without animals,Toxicologists and risk assessors,Safety data on annexed cosmetic ingredients from Scientific Committee on Consumer Safety opinions issued 2009-2019. Same committee that produces the CosIng annexes I already use,"88 cosmetic ingredients, of which 53 affect at least one liver toxicity parameter",YES. Live and searchable at toxin-search.netlify.app,"Not named as a methodology, but the process is carefully documented",Inherited from TXPO,Inherited from TXPO,"Reuses the ToXic Process Ontology (TXPO) from the OBO Foundry, which itself pulls in Gene Ontology, ChEBI, Disease Ontology, Cell Ontology, UniProt and others","Not detailed, but they add SMILES notation to standardise chemical identity",Reliability of each study is scored automatically with ToxRTool,CURATED SPREADSHEETS CONVERTED TO RDF USING R2RML. This is the single most useful sentence in the paper for me. Toxicologists transcribe into Excel; computer scientists have read-only access and generate the RDF,"R2RML, TXPO, OECD QSAR Toolbox, Ontodia for visualisation","It is not a recommender. It is a retrieval and assessment tool: filter for ingredients linked to liver toxicity, then follow the chain to the adverse outcome",They don't say,Yes,"OBO Foundry ontologies, KEGG, Reactome, UniProt, all linked BY IRI rather than copied",Demonstration through use cases,88 ingredients loaded; 53 identified as affecting a liver parameter in 90-day studies,Yes. It claims to be a retrieval tool and it demonstrates retrieval. No overreach,"THREE THINGS. R2RML for population, which is now my chosen method. NAMED GRAPHS per source so the origin of any statement is traceable, which is my evidence-level idea at the storage layer. And linking out by IRI instead of copying data","The toxicology depth: hepatotoxic mechanisms, KEGG pathways, gene products. I model consumer products, not mechanisms of harm",IT HAS NO PRODUCTS. It has the regulation and the science with nothing on a shelf. Every skincare ontology has products and no regulation. Nobody has both. That intersection is my thesis,"They model the EVIDENCE BEHIND a restriction. I model only the restriction itself as a pointer like Annex V/29. Link the two and a product on a Beirut shelf carries a traceable path all the way to the SCCS opinion that limits phenoxyethanol to 1%. No consumer-facing system anywhere does that, and the link is one owl:sameAs per ingredient","Section 3.6, the regulatory precedent"
10,B,HaCKG,Read closely,Halal or Not: Knowledge Graph Completion for Predicting Cultural Appropriateness of Daily Products,V. T. Hoang et al.,2025,IEEE Access,"IEEE Access. Open access, indexed, respectable",8,South Korea,https://consensus.app/papers/details/033951ebc555534aac4c54bad403585a/,I only read the abstract,Existing halal prediction looks at ingredients one at a time and misses the relationships between cosmetics and their components,"Muslim consumers, and cosmetics retailers in Muslim-majority markets","A cosmetics dataset of products, ingredients and their properties",Abstract doesn't say,Abstract doesn't say,None stated. This is a machine learning paper that happens to build a KG,They never say,They never say,"Cosmetics, Ingredients and their properties as entities in a knowledge graph",Abstract doesn't go into it,"None. The learning is in the network, not in axioms",They don't say,"A pre-trained relational graph attention network with residual connections, fine-tuned on downstream cosmetic data","The graph is embedded by a relational graph attention network which learns high-order relations between cosmetics and ingredients, then fine-tuned to predict halal status","None. Neural, not symbolic",They don't say,None stated,Benchmark comparison against state-of-the-art baselines on halal prediction,Reported as outperforming baselines. Exact figures not in the abstract,"Appears sound for a machine learning paper, but this is a prediction task with no reasoning and no citation of an authority","Their own argument, which helps me: ingredient-by-ingredient methods 'ignore the high-order and complex relations between cosmetics and ingredients'. That is an argument FOR my graph, made by someone else. Also, it proves a cosmetics KG is a publishable object",The graph neural network. I have no interaction data and my contribution is the resource,They PREDICT halal status with a learned model. I would DERIVE it from INCI plus a curated list and cite the derivation. Prediction gives a probability; derivation gives a reason and a source,"Use them as an EVALUATION TARGET rather than a competitor. Where my symbolic derivation and their learned prediction agree, that is mutual validation. Where they disagree, the disagreement set is a research result. Same design I proposed for Lee et al., and having two candidates turns a trick into a method","Section 5, hybrid track. THIS WEAKENS MY HALAL CLAIM - be honest about it"
11,B,CCIBP,Check in sprint 2,CCIBP: a comprehensive cosmetic ingredients bioinformatics platform,L. Gong et al.,2023,"Bioinformatics, Oxford University Press",STRONG. Bioinformatics is a leading journal,2,China,http://design.rxnfinder.org/cosing/,I only read the abstract,"Understand the physicochemical properties, metabolic pathways, toxicology and safe concentrations of cosmetic molecules in one place",Cosmetic researchers and formulators,"Regulations from major world regions, physicochemical properties, human metabolic pathways, plant information for natural products",Abstract doesn't say,"YES, publicly available at the URL",None stated,"Not an ontology as such, a platform",Doesn't apply here,"Not applicable, it is a database not an ontology",Doesn't apply here,None,Curated from regulatory and chemical sources,Chemoinformatics and bioinformatics tooling,Not a recommender. Supports formulation analysis and efficacy component analysis,None,They don't say,Links plant information to natural products,"Presented as a resource, demonstrated through use",Abstract doesn't say,It claims to be a platform and it is one,"Possibly a SECOND ingredient source. It covers regulations beyond the EU, which matters if Lebanon follows any non-EU framework for some ingredient classes. Also, a resource paper in a strong journal, which supports my argument that resource construction is a legitimate contribution","The synthetic biology and biosynthesis material, which is irrelevant to retail","It has ingredients and no products, same as TOXIN","If Lebanon's regulation is not purely EU-aligned, this is where the non-EU annexes live. Worth 30 minutes in sprint 2 to check whether it adds anything my CosIng link does not already give me","Toolkit, ingredient sources"
