product_id,source_category,brand,name,product_type,country,product_url,skin_type,sensitivity,skin_type_source,ingredients,ingredient_count,key_ingredients,free_from,spf,benefits,concerns,price_usd,price_source,size_value,size_unit,size_ml,price_lbp,price_lbp_rate,price_per_ml,price_tier,rating,rating_count,rating_source,review_texts_json,shops_in_lebanon,image_url,image_source,product_summary,price_seen_date,sold_by_shops,price_usd_lowest,price_usd_highest,ingredient_functions,cosing_matched,cosing_coverage,restricted_ingredients
LBR-00193,Lebanese retail,Clarins,Double Serum Eye Holiday Set,Eye Moisturizer,France,https://sohaticare.com/products/cl-double-serum-eye-20ml,All,Resistant,www.clarinsusa.com,"AQUA, PROPANEDIOL, GLYCERIN, SQUALANE, BORON NITRIDE, CAFFEINE, POLYACRYLATE CROSSPOLYMER-6, CAPRYLYL/CAPRYL GLUCOSIDE, 2-HYDROXYETHYL ACRYLATE, PENTYLENE GLYCOL, AVENA SATIVA KERNEL EXTRACT, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, PPG-26-BUTETH-26, ESCIN, PERSEA GRATISSIMA OIL UNSAPONIFIABLES, DISODIUM EDTA, PEG-40 HYDROGENATED CASTOR OIL, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, CURCUMA LONGA ROOT EXTRACT, CARAMEL, HEXYLENE GLYCOL, ACTINIDIA CHINENSIS FRUIT EXTRACT, KALANCHOE PINNATA LEAF EXTRACT, SODIUM HYDROXIDE, MARRUBIUM VULGARE EXTRACT, ANTHRISCUS SYLVESTRIS EXTRACT, HEDYCHIUM CORONARIUM ROOT EXTRACT, ALCOHOL, CITRIC ACID, PHENETHYL ALCOHOL, FURCELLARIA LUMBRICALIS EXTRACT, POTASSIUM SORBATE, SEA SALT, LAPSANA COMMUNIS FLOWER/LEAF/STEM EXTRACT",35,"Vitamin E, Squalane, Caffeine, Oat","Fragrance, Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,"Hydrating, Barrier Repair, Anti-Aging, Reduces Irritation, Brightening, Good For Oily Skin, Redness Reducing, Scar Healing","May Worsen Rosacea, May Worsen Dryness, May Worsen Eczema",95.24,sohaticare,20,ml,20.00,8523980,89500,4.7620,premium,3,3,"skinsort, global_inherited","[{""rating"": """", ""skin_type"": ""Dry Skin"", ""text"": ""Finished two bottles. The first bottle works well, it reduced under eye fine lines and didn't trigger anything. But the second bottle was a disaster: the white cream part doesn't pump out, and my eye contour skin feels itchy two hours after applying. Regardless of the effect (works for fine lines, no effect on dark circles), the dispense head is an awful design to just make the product look"", ""tags"": ""expensive, hydrating, absorbs well, sticky"", ""date"": ""June 2024""}]",1,https://sohaticare.com/cdn/shop/files/3380810463170.webp?v=1761574812,og:image,"A eye moisturizer with 38 ingredients, including exfoliants and vitamin E.",,sohaticare,95.24,95.24,"Skin Conditioning (19), Fragrance (8), Solvent (6), Viscosity Controlling (6), Hair Conditioning (4), Perfuming (4), Skin Conditioning - Emollient (3), Surfactant - Cleansing (3)",35,100,"Caramel, Citric Acid, Potassium Sorbate, Sodium Hydroxide"
LBR-00978,Lebanese retail,Beauty of Joseon,Beauty Of Joseon Hanbang Serum Discovery Kit,Serum,South Korea,https://feel22.com/products/beauty-of-joseon-hanbang-serum-discovery-kit,Dry,Sensitive,feel22,"Glycerin, Niacinamide, Soybean Seed Extract, Barley Extract, Rice Extract",5,Niacinamide,,,"Hydrating, Brightening, Dark Spots, Acne Fighting",None identified in the formula,32.00,feel22,10,ml,10.0,2864000,89500,3.2000,mid,,,,,1,https://feel22.com/cdn/shop/files/1_48c8c8b8-0620-4a0b-a2ce-22dd7c413140.png?v=1732175852,og:image,The 'Hanbang discovery kit' was created for those who want to find out which of the four BOJ serums is best for their skin. This is a 10ml mini size set with 4 types of serums so that you can choose to use or layer them according to your skin type or skin issues. Experience a wonderful journey to fi,,feel22,32.00,32.00,"Denaturant (1), Hair Conditioning (1), Humectant (1), Oral Care (1), Perfuming (1), Skin Conditioning (1), Skin Protecting (1), Solvent (1)",2,40,
LBR-01096,Lebanese retail,Biocollagenix,Hydrolyzed Marine Collagen Type 1 & 3 Pack Of 1 Drink Boxes And 1 Ampoule Box,Serum,Unspecified,https://zeinacare.com/products/hydrolyzed-marine-collagen-type-1-3-pack-of-1-drink-boxes-and-1-ampoule-box,Combination,Sensitive,zeinacare,,,,,,Anti-Aging,,57.77,zeinacare,1,ampoule,,5170415,89500,,premium,,,,,1,https://mspharma.ae/wp-content/uploads/2026/03/Biocollagenix-Offer.png,found by image search on another retailer,A serum from Biocollagenix.,,zeinacare,57.77,57.77,,,,
LBR-01592,Lebanese retail,Clarins,Hydra-Essentiel Collection Set,General Moisturizer,France,https://mazenonline.com/products/hydra-essentiel-collection-set,Dry,Sensitive,"tier 4, inferred: occlusives high in the formula, no astringent","AQUA/WATER/EAU, GLYCERIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, SQUALANE, BUTYROSPERMUM PARKII BUTTER, COCO-CAPRYLATE/CAPRATE, HYDROGENATED COCO-GLYCERIDES, PROPANEDIOL, DIMETHICONE, CETEARYL ALCOHOL, GLYCERYL STEARATE, PEG-100 STEARATE, CAPRYLYL GLYCOL, SODIUM POLYACRYLATE, XYLITYLGLUCOSIDE, CETEARYL GLUCOSIDE, PARFUM/FRAGRANCE, ANHYDROXYLITOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ETHYLHEXYLGLYCERIN, DIMETHICONOL, XYLITOL, BUTYLENE GLYCOL, DECYLENE GLYCOL, SODIUM HYDROXIDE, GLUCOSE, KALANCHOE PINNATA LEAF EXTRACT, TOCOPHEROL, MARRUBIUM VULGARE EXTRACT, CITRIC ACID, PHENETHYL ALCOHOL, FURCELLARIA LUMBRICALIS EXTRACT, SODIUM BENZOATE, POTASSIUM SORBATE, LAPSANA COMMUNIS FLOWER/LEAF/STEM EXTRACT, MARIS SAL/SEA SALT/SEL MARIN",36,"Vitamin E, Shea Butter, Squalane","Parabens, Alcohol, Essential Oils, Sulfates, Mineral Oil",,"Hydrating, Anti-Aging, Brightening","May Worsen Dryness, May Worsen Irritation, May Worsen Eczema, May Worsen Oily Skin",71.59,mazenonline,,,,6407305,89500,,premium,,,,,1,https://mazenonline.com/cdn/shop/files/NEWITEMSCLARINSNOV2024Artboard80.jpg?v=1741101411,og:image,"Hydrates, plumps & revives radiance.",,mazenonline,71.59,71.59,"Skin Conditioning (21), Fragrance (9), Skin Conditioning - Emollient (9), Viscosity Controlling (7), Humectant (6), Solvent (4), Hair Conditioning (3), Perfuming (3)",36,100,"Citric Acid, Potassium Sorbate, Sodium Benzoate, Sodium Hydroxide"
LBR-01594,Lebanese retail,Clarins,Clarins Radiant Lips Collection Holiday Set,Lip Moisturizer,France,https://feel22.com/products/clarins-radiant-lips-collection-holiday-set,Dry,Sensitive,"tier 4, inferred: occlusives high in the formula, no astringent","14 days Ingredients SQUALANE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PENTAERYTHRITYL TETRAISOSTEARATE, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, BIS BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, CORYLUS AVELLANA (HAZELNUT) SEED OIL, SILICA SILYLATE, PARFUM/FRAGRANCE, ROSA RUBIGINOSA SEED OIL, TOCOPHERYL ACETATE, BUTYLENE/ETHYLENE/STYRENE COPOLYMER, VANILLIN, POLYGLYCERYL-2 TRIISOSTEARATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 77891/TITANIUM DIOXIDE, CI 15850/RED 7, ROSE KETONES, CI 19140/YELLOW 5 LAKE",18,"Vitamin E, Squalane, Jojoba Oil","Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,Reduces Irritation,"May Worsen Irritation, May Worsen Eczema",108.78,feel22,7,ml,7.0,9735810,89500,15.5400,premium,,,,,1,https://feel22.com/cdn/shop/files/ClarinsRadiantLipsCollectionHolidaySet.png?v=1764066133,og:image,This set contains: Lip Comfort Oil 01 Honey 7ml Lip Comfort Oil 02 Raspberry 7ml Lip Comfort Oil 03 Cherry 7ml,,feel22,108.78,108.78,"Skin Conditioning - Emollient (4), Skin Conditioning (3), Viscosity Controlling (3), Fragrance (3), Colorant (3), Surfactant - Emulsifying (2), Antioxidant (2), Hair Dyeing (2)",15,83,"Ci 15850/Red 7, Ci 19140/Yellow 5 Lake, Ci 77891/Titanium Dioxide"
LBR-03021,Lebanese retail,IDC Institute,PETITS DELICES 4 BOTTLES SET,Exfoliator,Spain,https://zeinacare.com/products/petits-delices-4-bottles-set,Oily,Resistant,"tier 4, inferred: what a exfoliator is for",,,,,,Skin Texture,,19.80,zeinacare,,,,1772100,89500,,mid,,,,,1,https://zeinacare.com/cdn/shop/files/42236_cc95b4d0-72c4-4b89-abf7-367d427bb660.png?v=1765523280,og:image,"This set includes 4 beautifully crafted bottles, perfect for pampering yourself or as a thoughtful gift. Treat your senses with these luxurious formulas",,zeinacare,19.80,19.80,,,,
LBR-03023,Lebanese retail,IDC Institute,ALOE VERA FOAM CLEANSER 3PC,Face Cleanser,Spain,https://zeinacare.com/products/aloe-vera-foam-cleanser-3pc,Combination,Sensitive,zeinacare,,,,,,Reduces Irritation,,22.50,zeinacare,3,pc,,2013750,89500,,mid,,,,,1,https://zeinacare.com/cdn/shop/files/90132.png?v=1765523601,og:image,"Gently cleanse, soothe and calm your skin with our refreshing aloe vera facial cleanser.",,zeinacare,22.50,22.50,,,,
LBR-03774,Lebanese retail,Lysedia,Discovery Travel Kit,Eye Moisturizer,France,https://mazenonline.com/products/discovery-travel-kit,All,Resistant,"tier 4, inferred: no formula and no type rule, so the neutral value",,,,,,Hydrating,,36.12,mazenonline,,,,3232740,89500,,mid,,,,,1,https://mazenonline.com/cdn/shop/products/837_Trousse.png?v=1678890063,og:image,"Effect : The discovery kit contains an eye contour, a Revitalizing day cream, Actibody body milk, micellar water and a shower gel. Benefits : The travel discovery format offers a nice assortment of the Lysedia range.",,mazenonline,36.12,36.12,,,,
LBR-04100,Lebanese retail,Nacific,Nacific Serum Discovery Set,Serum,South Korea,https://feel22.com/products/nacific-serum-discovery-set,All,Sensitive,feel22,"Water, Butylene Glycol, Dipropylene Glycol, Glycereth-26, Glycerin, 1,2-Hexanediol, Isopentyldiol, Niacinamide, Citrullus Lanatus (Watermelon) Fruit Extract, Ammonium Acryloyldimethyltaurate/VP Copolymer, Panthenol, Propanediol, Polyglyceryl-10 Laurate, Allantoin, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Lavandula Angustifolia (Lavender) Oil, Carbomer, Adenosine, Tromethamine, Disodium EDTA, Diphenyl Dimethicone, Triethylhexanoin, Salicylic Acid, Citric Acid, Polyglyceryl-10 Oleate, Hydrogenated Lecithin, Sodium Hyaluronate, Gardenia Florida Fruit Extract, Cyanocobalamin, Dextrin, Tranexamic Acid, Glutathione, Calamine, Sodium Ascorbyl Phosphate, Melaleuca Alternifolia (Tea Tree) Extract, Lactobacillus/Soybean Ferment Extract, Sodium Hyaluronate Crosspolymer, Hydrolyzed Glycosaminoglycans, Dioscorea Japonica Root Extract, Tremella Fuciformis (Mushroom) Extract, Hippophae Rhamnoides Fruit Extract, Benzyl Glycol, Centella Asiatica Extract, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Raspberry Ketone",47,"Niacinamide, Hyaluronic Acid, Vitamin C, Salicylic Acid, Tranexamic Acid, Panthenol, Allantoin, Lavender","Fragrance, Parabens, Alcohol, Sulfates, Mineral Oil",,"Hydrating, Brightening, Skin Texture",May Worsen Oily Skin,25.60,feel22,,,,2291200,89500,,mid,,,,,1,https://feel22.com/cdn/shop/files/1_98c949ea-a82c-4386-aceb-96edb5764336.png?v=1737124413,og:image,"What is it: A curated set of four best-selling ampoules, each tailored to address different skincare needs. Whether you're seeking hydration, brightening, exfoliation, or nourishment, this kit provides a comprehensive introduction to Nacific's signature formulations. What is included: Fresh Herb Ori",,feel22,25.60,25.60,"Skin Conditioning (30), Humectant (10), Viscosity Controlling (9), Solvent (8), Fragrance (8), Hair Conditioning (7), Perfuming (4), Skin Protecting (3)",46,98,"Citric Acid, Salicylic Acid, Tromethamine"
LBR-04310,Lebanese retail,Nuxe,Sun Essential High Sun Protection Travel Kit,Sunscreen,France,https://zeinacare.com/products/sun-travel-kit,Dry,Sensitive,"tier 4, inferred: occlusives high in the formula, no astringent","Sun cream / spray spf50: aqua/water, dibutyl adipate, diethylamino hydroxybenzoyl hexyl benzoate, bis‑ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, c12‑15 alkyl benzoate, glycerin, isopropyl lauroyl sarcosinate, parfum/fragrance, cetearyl alcohol, coco‑glucoside, glycol palmitate, dimethicone, helianthus annuus (sunflower) seed oil, simondsia chinensis (jojoba) seed oil, tocopherol, etc, After‑sun milk / lotion: aqua/water, sunflower seed oil, butyrospermum parkii (shea) butter, glycerin, coco‑caprylate/caprate, parfum/fragrance, behenyl alcohol, sodium stearoyl glutamate, aloe barbadensis leaf juice powder, tocopherol, etc",28,"Vitamin E, Aloe Vera, Shea Butter, Jojoba Oil","Parabens, Alcohol, Essential Oils, Sulfates, Mineral Oil",,Sun Protection,"May Worsen Dryness, May Worsen Irritation, May Worsen Eczema, May Worsen Oily Skin",37.50,zeinacare,,,,3356250,89500,,mid,,,,,1,https://zeinacare.com/cdn/shop/files/NuxeSunTravelKit.jpg?v=1759365147,og:image,A sunscreen from NUXE.,,zeinacare,37.50,37.50,"Skin Conditioning (15), Skin Conditioning - Emollient (6), Solvent (5), Viscosity Controlling (5), Fragrance (5), Perfuming (4), Surfactant - Emulsifying (4), Hair Conditioning (3)",21,75,"Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Triazone"
