#,Track,What I call it,Full title,Who wrote it,Year,Where it came out,How many people cite it,Can I download their work?,Did they follow a proper method?,How the data got in,Link,What I'm taking from it,Where this goes in my chapter
1,B,Moe & Aung,Building Ontologies for Cross-domain Recommendation on Facial Skin Problem and Related Cosmetics,"K. S. M. Moe, T. N. Aung",2014,Int. Journal of Information Technology and Computer Science 6(6) 33-39,"3 (2014 version), 8 (2016 reprint)","No. No link, no repository, no address. The ontology exists only as figures","No name given, but it is METHONTOLOGY in all but name: an eight task procedure",Not reported. Almost certainly typed in by hand in Protege,https://www.mecs-press.org/ijitcs/ijitcs-v6-n6/v6n6-5.html,"The eight task checklist, especially task 1, a glossary of every term with its synonyms. Also their ContextualFeatures class: price and place describe a product as sold somewhere, not the product itself","Section 3.2, first competitor"
2,B,OntoCosmetic (Serna),Towards an ontology-based decision support system for the design of emulsion-based cosmetic products,"J. Serna, V. Falk, P. Perre, M. Camargo, S. Morel",2021,Computer Aided Chemical Engineering (ESCAPE),They never say,YES. The only cosmetics ontology in my whole review that is publicly downloadable. purl.org/ontocosmetic,"None stated, but the four building-block structure is deliberate","By hand, by experts. 279 individuals typed in. Fine at 279, impossible at 12,629",https://purl.org/ontocosmetic,"The ingredient function names, the split between product properties and ingredient properties, hasOrigin, and above all hasHeuristicSource which records where each RULE came from. That is provenance applied to rules","Section 3.3, part one"
3,B,Formultools (Gabriel),An ontology-based mobile application to support cosmetic product design decisions (Formultools),"A. Gabriel, M. Camargo, S. Morel, J. Serna",2023,"Computer Aided Chemical Engineering, ESCAPE-33",They never say,The underlying ontology is public; the app is described but I found no download,"Yes: the five planes user-centred design method (Garrett 2011), with co-design and iterative usability testing","Inherited from OntoCosmetic, no new population",https://purl.org/ontocosmetic,"The design process: co-design with domain experts, iterate, measure each iteration with a standard instrument. Also AttrakDiff as a cheap named evaluation tool","Section 3.3, part two"
4,B,Hansanie & Silva,Ontology based Machine Learning Approach for Facial Skincare Products Recommendation,"M. Hansanie, T. Silva",2024,IEEE Int. Conference on Image Processing and Robotics (ICIPRoB) 2024,2,No link given anywhere in the paper,"No name given. Built top down: general classes first, specific ones underneath","Not clearly reported. The spreadsheet to ontology step is described as a design step, not an automated one",https://consensus.app/papers/details/a76d6c9238dd52a3b3b12bdb93addb5b/,"Three separate ontologies merged, because the three parts change at completely different speeds. A reasoner from day one. Ratings held inside the ontology. Owlready2, since my pipeline is Python","Section 3.1, lead with this"
5,B,Abesova (VU Amsterdam),Skincare Ontology for Personalised Recommendation,"S. Abesova, K. Hajkova, Y. Ramadan, M. Zdych",2023,"Vrije Universiteit Amsterdam, Knowledge and Data course, Group 31",0,Not stated as published,"Yes: middle out. Start with concepts you are sure of, work outward in both directions. Explicitly iterative","OntoRefine turned the scraped CSV into RDF by mapping columns to classes. This is a real tool, not a script",In repo/papers/,"THE DEFINED CLASS. State the rule once instead of tagging 4,000 rows. Also OntoRefine as a population tool, and DBpedia linking to get data free","Section 3.4, the mechanism section"
6,B,bit-Tech 2025,Personalized Skincare Recommendation System Based on Ontology and User Preferences,Not yet confirmed - I only have the abstract,2025,"bit-Tech, Komunitas Dosen Indonesia",They never say,Not stated in the abstract. CHECK when I get the PDF,"YES, METHONTOLOGY, named explicitly",Web scraping into the ontology. Whether a mapping language was used is not stated. FIND OUT,https://jurnal.kdi.or.id/index.php/bt/article/view/2857,"Two class names I would not have thought of: Formulation Trait and What It Does. That split IS my evidence problem in class form. What It Does is the marketing claim; Formulation Trait is the physical property. One is asserted by a seller, the other is derivable from the formula","Section 3.5, the closest competitor"
7,B,Utari (JELIKU),Pengembangan Ontologi Semantik Pada Domain Produk Kosmetik (Developing a Semantic Ontology in the Cosmetic Product Domain),N. N. R. D. Utari et al.,2023,"JELIKU, Jurnal Elektronik Ilmu Komputer Udayana",0,They don't say,"YES, METHONTOLOGY",They don't say,https://consensus.app/papers/details/9f025755693f50298a45b5c165537fbc/,Almost nothing technically. Its value is as a scale comparison,Comparison table only
8,B,Mahadewi (JELIKU),Penerapan Algoritma Slope One dalam Collaborative Filtering (Body care product recommendation using ontology and collaborative filtering),I. A. Mahadewi et al.,2024,"JELIKU, Jurnal Elektronik Ilmu Komputer Udayana",0,They don't say,"YES, METHONTOLOGY. System built with Prototyping",They don't say,https://consensus.app/papers/details/a7956ce9d21f5d6b806688eb6cec7cb8/,"The two evaluation instruments. SUS in particular is standard, cheap and would strengthen any interface I build","Comparison table, evaluation column"
9,B,TOXIN KG,The TOXIN knowledge graph: supporting animal-free risk assessment of cosmetics,S. Sepehri et al.,2025,"Database: The Journal of Biological Databases and Curation, Oxford University Press",4,YES. Live and searchable at toxin-search.netlify.app,"Not named as a methodology, but the process is carefully documented",CURATED SPREADSHEETS CONVERTED TO RDF USING R2RML. This is the single most useful sentence in the paper for me. Toxicologists transcribe into Excel; computer scientists have read-only access and generate the RDF,https://doi.org/10.1093/database/baae121 | live at https://toxin-search.netlify.app/,"THREE THINGS. R2RML for population, which is now my chosen method. NAMED GRAPHS per source so the origin of any statement is traceable, which is my evidence-level idea at the storage layer. And linking out by IRI instead of copying data","Section 3.6, the regulatory precedent"
10,B,HaCKG,Halal or Not: Knowledge Graph Completion for Predicting Cultural Appropriateness of Daily Products,V. T. Hoang et al.,2025,IEEE Access,8,Abstract doesn't say,None stated. This is a machine learning paper that happens to build a KG,They don't say,https://consensus.app/papers/details/033951ebc555534aac4c54bad403585a/,"Their own argument, which helps me: ingredient-by-ingredient methods 'ignore the high-order and complex relations between cosmetics and ingredients'. That is an argument FOR my graph, made by someone else. Also, it proves a cosmetics KG is a publishable object","Section 5, hybrid track. THIS WEAKENS MY HALAL CLAIM - be honest about it"
11,B,CCIBP,CCIBP: a comprehensive cosmetic ingredients bioinformatics platform,L. Gong et al.,2023,"Bioinformatics, Oxford University Press",2,"YES, publicly available at the URL",None stated,Curated from regulatory and chemical sources,http://design.rxnfinder.org/cosing/,"Possibly a SECOND ingredient source. It covers regulations beyond the EU, which matters if Lebanon follows any non-EU framework for some ingredient classes. Also, a resource paper in a strong journal, which supports my argument that resource construction is a legitimate contribution","Toolkit, ingredient sources"
12,B,CosIng-KG,cosing-kg: the European Commission CosIng database converted to RDF,biobricks-ai,n/a,"GitHub repository, serving kg.toxindex.com",They never say,"YES, on GitHub",They don't say,Converted from the CosIng release,https://github.com/biobricks-ai/cosing-kg,"POSSIBLY MY ENTIRE INGREDIENT LAYER, free and citable. If its IRIs and licence work for me, I reuse it and my products link straight to its ingredient IRIs","Sprint 2 action item, and a footnote in the methodology"
13,B,DermO,DermO: an ontology for the description of dermatologic disease,"Multiple authors, University of Birmingham",2016,Journal of Biomedical Semantics,They never say,"YES. GitHub plus BioPortal, in OBO flat file and OWL 2",Follows biomedical ontology conventions; aligned to ICD-10,"Manually, by domain experts",https://bioportal.bioontology.org/ontologies/DERMO,"MY CONCERN VOCABULARY. Right now acne, dryness, redness and hyperpigmentation are free text I invented. If they link to DermO they become entities a dermatologist can check, aligned to ICD-10","Section 3.6, and sprint 2 action"
14,B,D3X,Dermoscopy Differential Diagnosis Explorer (D3X) Ontology to Aggregate and Link Dermoscopic Patterns to Differential Diagnoses,Multiple authors,2024,JMIR Medical Informatics 12:e49613,They never say,Described as a development and usability study; check availability,They don't say,They don't say,https://medinform.jmir.org/2024/1/e49613,"The EVALUATION DESIGN. Ontologies in this space are evaluated by expert review and task completion, not by precision and recall. Knowing that saves me from promising an evaluation I cannot deliver","Evaluation chapter, method justification"
15,B,Halal flavouring ontology,Development of Flavouring Ontology for Recommending the Halal Status of Flavours,Multiple authors,2024,Journal of Information Science Theory and Practice 12(2),They never say,They don't say,Not named,They don't say,https://accesson.kr/jistap/v.12/2/22/42865,"THE THREE-PART PATTERN: ingredient, AUTHORITY, status, with the authority as a first-class entity rather than an attribute. Swap halal certification for EU Annex restriction and it is my problem exactly","Section 3.6, pattern source"
16,B,Klaschka,Naturally toxic: natural substances used in personal care products,U. Klaschka,2015,Environmental Sciences Europe,107,The underlying registers are public,Not an ontology paper,Doesn't apply here,https://consensus.app/papers/details/c46f8b2f2d295088a0e529d31143952c/,"PEER-REVIEWED EVIDENCE, 107 citations, that natural does not mean safe. That arms my free_from column and every 'natural' and 'clean' claim in my product descriptions","Section 3.6, and a results chapter of its own"
17,B,MVFM,Predictive Analysis of Cosmetic Formulations: A Multi-Vector INCI Mapping Methodology for Objective Product Assessment,R. Plonsak,2026,Journal of Applied Cosmetology,0,The method is described in the paper,Not an ontology,Manual scoring by one evaluator,https://consensus.app/papers/details/ea07c5e70d905e3694e09206096364f2/,"THE USE OF INCI POSITION AS A SIGNAL. This is why my ontology must reify IngredientListing with a position number. Position is concentration order, the only concentration signal a consumer ever gets","Section 3.6, and possible future work"
18,B,Landau INCI guide,Hacking the International Nomenclature of Cosmetic Ingredients List: How to Read Ingredients in Cosmetic Products and What Is Important for a Dermatologist to Know,M. Landau et al.,2023,"Dermatologic Clinics, Elsevier",4,Doesn't apply here,Doesn't apply here,Doesn't apply here,https://consensus.app/papers/details/ae9df404874a59bb9266b3e1d1bf4821/,A CITABLE SOURCE for how INCI lists are structured and read. Useful in my methods chapter when I explain why parsing them is hard,"Introduction, motivation"
19,C,Middleton,Ontological User Profiling in Recommender Systems,"S. E. Middleton, N. R. Shadbolt, D. C. De Roure",2004,ACM Transactions on Information Systems 22(1) 54-88,In the thousands,The systems are described in the paper,Not named as a methodology,Papers classified into ontological classes automatically,https://doi.org/10.1145/963770.963773,ALL THREE FINDINGS ARE MY THREE ARGUMENTS. Inference up a hierarchy (my concerns have one). External knowledge bootstraps a cold start (a new Beirut user has no history but the ontology already knows what suits combination skin). Profile visualisation (a user can see and correct 'the system think...,"Section 4.1, opens the chapter"
20,C,FoodKG,FoodKG: A Semantics-Driven Knowledge Graph for Food Recommendation,"S. Haussmann, O. Seneviratne, Y. Chen, Y. Ne'eman, J. Codella, C. Chen, D. L. McGuinness, M. J. Zaki",2019,"The Semantic Web, ISWC 2019, Springer LNCS",Several hundred,"YES, published at foodkg.github.io","Not named as a formal methodology, but construction is described as a contribution","Integration of several existing datasets and ontologies into one graph, described step by step",https://doi.org/10.1007/978-3-030-30796-7_10 | https://foodkg.github.io/,"FOUR PRACTICES. Construction described as a contribution in its own right. A stated MAINTENANCE PLAN, which no skincare ontology has. Multiple applications on one graph, so the graph is infrastructure not an app. And HARD CONSTRAINTS, not preferences: an allergy is a filter, not something to weigh","Section 4.2, the structural analogue"
21,C,Constrained QA over FoodKG,Personalized Food Recommendation as Constrained Question Answering over a Large-scale Food Knowledge Graph,"Y. Chen, A. Subburathinam, C.-H. Chen, M. J. Zaki",2021,WSDM / arXiv 2101.01775,Over 100,Builds on published FoodKG,Not an ontology construction paper,Inherits FoodKG,https://arxiv.org/abs/2101.01775,"THE FRAMING. Recommendation as constrained question answering. My four hard constraints are skin suitability, allergen absence, price ceiling and Lebanese availability","Section 4.2, system framing"
22,C,Di Noia / Ostuni,Linked Open Data to Support Content-based Recommender Systems (and the RecSys 2013 and WIMS 2015 papers in the same line),"T. Di Noia, R. Mirizzi, V. C. Ostuni, D. Romito, M. Zanker",2012-2015,"I-SEMANTICS 2012, RecSys 2013, WIMS 2015",Several hundred across the line,Methods published; datasets are public,Not an ontology construction paper,Uses existing linked data,https://doi.org/10.1145/2797115.2797128,"PRODUCT SIMILARITY WITHOUT ANY RATINGS. Two products are similar if they share ingredient functions, a restriction profile, a concern, a price band, a country. My rating column is only 51% complete and I have no user history, so this is the only content-based similarity available that uses everyt...","Section 4.3, similarity method"
23,C,AliCoCo,AliCoCo: Alibaba E-commerce Cognitive Concept Net,"X. Luo, L. Liu, Y. Yang, L. Bo, Y. Cao, J. Wu, Q. Li, K. Yang, K. Q. Zhu",2020,ACM SIGMOD 2020,Several hundred,"Partially, via the GitHub repository","Not named, but the design principle is explicit",Semi-automatic extraction at scale from catalogue and behavioural data,https://doi.org/10.1145/3318464.3386132 | https://github.com/alicogintel/AliCoCo,"THE ONE IDEA. My concerns column is already a user need sitting in a product schema pretending to be an attribute. Promote it. A need entity can be satisfied by a ROUTINE of several products, can carry a budget, can carry a season, and can be constrained by availability. A product attribute can d...","Section 4.4, and the novelty claim"
24,C,Guo survey,A Survey on Knowledge Graph-Based Recommender Systems,"Q. Guo, F. Zhuang, C. Qin, H. Zhu, X. Xie, H. Xiong, Q. He",2022,IEEE Transactions on Knowledge and Data Engineering 34(8) 3549-3568,Over a thousand,The survey is public,Doesn't apply here,Doesn't apply here,https://arxiv.org/abs/2003.00911,"THE TAXONOMY, as the structure of my hybrid section. Also the strengths and weaknesses: embeddings scale but lose the reasoning, paths explain but are expensive","Section 4.5, positions the whole thesis"
