brand,parent_company,note
Garnier,L'Oréal,
Maybelline,L'Oréal,
Maybelline New York,L'Oréal,
Lancôme,L'Oréal,
Vichy,L'Oréal,
La Roche-Posay,L'Oréal,
CeraVe,L'Oréal,
Kiehl's,L'Oréal,
SkinCeuticals,L'Oréal,
L'Oréal Paris,L'Oréal,
L'Oreal,L'Oréal,
Biotherm,L'Oréal,
Mixa,L'Oréal,
IT Cosmetics,L'Oréal,
Urban Decay,L'Oréal,
Shu Uemura,L'Oréal,
Aesop,L'Oréal,acquired from Natura in 2023
Youth To The People,L'Oréal,
Clinique,Estée Lauder Companies,
Origins,Estée Lauder Companies,
Bobbi Brown,Estée Lauder Companies,
Aveda,Estée Lauder Companies,
Darphin,Estée Lauder Companies,
La Mer,Estée Lauder Companies,
Estée Lauder,Estée Lauder Companies,
Too Faced,Estée Lauder Companies,
Smashbox,Estée Lauder Companies,
GLAMGLOW,Estée Lauder Companies,
Dr. Jart+,Estée Lauder Companies,via Have and Be Co
Jo Malone,Estée Lauder Companies,
Dove,Unilever,
Vaseline,Unilever,
Simple,Unilever,
Pond's,Unilever,
St. Ives,Unilever,
Love Beauty and Planet,Unilever,
Dermalogica,Unilever,
Murad,Unilever,
REN,Unilever,
Paula's Choice,Unilever,
Kate Somerville,Unilever,
Hourglass,Unilever,
Tatcha,Unilever,
Living Proof,Unilever,
Neutrogena,Kenvue,formerly Johnson and Johnson Consumer Health
Neutrogena DC,Kenvue,formerly Johnson and Johnson Consumer Health
Aveeno,Kenvue,
Clean & Clear,Kenvue,
Clean and Clear,Kenvue,
Johnson's,Kenvue,
Johnson's Baby,Kenvue,
Johnson and Johnson,Kenvue,
Nivea,Beiersdorf,
Eucerin,Beiersdorf,
Labello,Beiersdorf,
Aquaphor,Beiersdorf,
La Prairie,Beiersdorf,
Chantecaille,Beiersdorf,
Coppertone,Beiersdorf,
Olay,Procter and Gamble,
Gillette,Procter and Gamble,
Pantene,Procter and Gamble,
Head & Shoulders,Procter and Gamble,
SK-II,Procter and Gamble,
Old Spice,Procter and Gamble,
First Aid Beauty,Procter and Gamble,
Farmacy,Procter and Gamble,
Native,Procter and Gamble,
Avène,Pierre Fabre,
A-Derma,Pierre Fabre,
Ducray,Pierre Fabre,
Klorane,Pierre Fabre,
René Furterer,Pierre Fabre,
Bioderma,NAOS,
Institut Esthederm,NAOS,
Etat Pur,NAOS,
Cetaphil,Galderma,
Alastin,Galderma,
Filorga,Colgate-Palmolive,
EltaMD,Colgate-Palmolive,
PCA Skin,Colgate-Palmolive,
Palmolive,Colgate-Palmolive,
Sanex,Colgate-Palmolive,
Colgate,Colgate-Palmolive,
Shiseido,Shiseido,
NARS,Shiseido,
Drunk Elephant,Shiseido,
Clé de Peau Beauté,Shiseido,
innisfree,Amorepacific,
Laneige,Amorepacific,
Etude,Amorepacific,
Sulwhasoo,Amorepacific,
COSRX,Amorepacific,majority stake acquired 2024
Revlon,Revlon,
Elizabeth Arden,Revlon,
Almay,Revlon,
Rimmel,Coty,
Sally Hansen,Coty,
Philosophy,Coty,
Lancaster,Coty,
Sephora Collection,LVMH,
Sephora,LVMH,
Dior,LVMH,
Fresh,LVMH,
Benefit,LVMH,
Guerlain,LVMH,
Charlotte Tilbury,Puig,
Uriage,Uriage,independent French laboratory
Clarins,Clarins Group,
Caudalie,Caudalie,independent
Nuxe,Nuxe,independent
Avon,Natura and Co,
The Ordinary,Estée Lauder Companies,via DECIEM majority stake
NIOD,Estée Lauder Companies,via DECIEM majority stake
