,Tool,"What it is, in one line",What it does,Link,Do we use it?,"Why, or why not"
,THE LANGUAGES,,,,,
,RDF,"The rule that all data is made of three-part sentences: subject, predicate, object",Lets you add any new fact without changing a schema. 'Cetaphil contains Phenoxyethanol' is one triple,w3.org/TR/rdf11-primer,YES,It is what an ontology is written in. No choice here
,Turtle (.ttl),The readable way of writing RDF,Our ontology file. Diffs cleanly in git,w3.org/TR/turtle,YES,"Readable by humans, which the other formats are not"
,OWL,RDF plus real logic,Lets you say 'a sensitive-safe product is any product with no allergens' and have software work out who qualifies,w3.org/TR/owl2-primer,YES,The defined classes need it. This is what makes it an ontology and not a spreadsheet
,SPARQL,The query language for graphs. SQL for RDF. Say 'sparkle',"Answers questions like 'oily skin, no allergens, under $20, in Beirut'. Abesova, bit-Tech, TOXIN and FoodKG all use it",w3.org/TR/sparql11-query,YES,Our 15 competency questions are each one SPARQL query
,SWRL,If-then rules for what OWL cannot say,OntoCosmetic writes its formulation rules in it. 'If product has a declarable allergen then not for sensitive skin',w3.org/submissions/SWRL,MAYBE,"Only for two rules. It slows reasoning, and HermiT ignores it silently, so we would switch to Openllet"
,SHACL,"Checks the data obeys rules. OWL says what follows, SHACL says what MUST be true","'Every product must have exactly one brand.' Our validate_dataset.py, moved onto the graph",w3.org/TR/shacl,YES,"OWL assumes anything unsaid might be true, so it cannot enforce. SHACL can"
,R2RML / RML / YARRRML,"A file that says 'this column becomes this property'. R2RML is for databases, RML adds CSV, YARRRML is RML in readable YAML",TOXIN used R2RML to turn Excel into a graph. This is how our CSV becomes triples,rml.io,YES,A mapping file goes in the appendix and can be audited. A script cannot
,EDITORS AND LIBRARIES,,,,,
,Protégé,The free desktop editor from Stanford. Everyone uses it,"Build classes by clicking, press the reasoner button, screenshot the hierarchy. Moe, OntoCosmetic, Hansanie and COPPER all used it",protege.stanford.edu,YES,"Standard, and reasoners are built in. But keep the Turtle file in git as the real master"
,Owlready2,A Python library for ontologies,"Load the ontology, add facts, run a reasoner from code. Hansanie & Silva used it",owlready2.readthedocs.io,YES,Our whole pipeline is Python
,RDFLib,A Python library for plain RDF and SPARQL,"Read and write triples, run queries, from Python",rdflib.readthedocs.io,YES,Same reason. Pairs with Owlready2
,CoModIDE,"A drawing tool for ontology modules, made for the MOMo method","Draw the module, get the OWL",comodide.com,MAYBE,Nice for the diagrams the chapter needs. Not essential
,Tkinter,Python's basic window toolkit,Hansanie & Silva built their desktop app with it,docs.python.org/3/library/tkinter.html,NO,We are not building a desktop app
,REASONERS,,,,,
,HermiT,"A reasoner. Reads the ontology and works out what follows, and finds contradictions",Fills the defined classes. Flags the 593 sensitive-skin products that contain an allergen,hermit-reasoner.com,YES,"Ships with Protégé, solid default. Does NOT run SWRL rules"
,Pellet / Openllet,Another reasoner. Openllet is the maintained version,"Same job, but it also runs SWRL rules. Hansanie & Silva used Pellet",github.com/Galigator/openllet,MAYBE,Only if we write SWRL rules
,ELK,A very fast reasoner for a simple subset of OWL,Used by the big biomedical ontologies,github.com/liveontologies/elk-reasoner,NO,Too limited for our defined classes
,DATABASES,,,,,
,GraphDB,A database for triples with SPARQL on the front and a picture of the graph,Stores our 1.8 million triples in named boxes per source. Abesova used it,graphdb.ontotext.com,YES,"Free desktop edition, reasoning built in, and the visual explorer is worth more in a meeting than any paragraph"
,Apache Jena Fuseki,"A free, simpler triple store",Same job as GraphDB. bit-Tech used it,jena.apache.org/documentation/fuseki2,NO,"Simpler, but its reasoning is weak and it has no visual explorer. GraphDB does more for the same price"
,Stardog / Virtuoso,Commercial triple stores. Virtuoso runs DBpedia itself,"Same job, bigger scale","stardog.com, virtuoso.openlinksw.com",NO,We do not need the scale and Stardog costs money
,OntoRefine,A point-and-click tool inside GraphDB that turns a CSV into triples,Abesova's team used it to map Sephora columns to classes,graphdb.ontotext.com/documentation,NO,"Good, but the mapping is trapped inside GraphDB. Morph-KGC's mapping is a file we can put in the appendix"
,Morph-KGC,The Python engine that reads an RML mapping and writes the triples,One command turns our CSV into the graph. Rerun it whenever the data changes,morph-kgc.readthedocs.io,YES,"Python, fast on big CSVs, and the mapping is auditable. This is our population tool"
,VOCABULARIES WE REUSE,,,,,
,schema.org,The vocabulary Google uses for products and shops,"Gives us Product, Offer, price, brand, seller. Splits the product from the offer, which is how one lotion holds two prices",schema.org,YES,Everyone understands it already. No point inventing our own word for 'price'
,PROV-O,A W3C standard for saying where information came from,"wasAttributedTo, wasDerivedFrom, generatedAtTime. Our four evidence levels in a language other people speak",w3.org/TR/prov-o,YES,Turns our most original design choice into a standard one. O'Sullivan 2025 did exactly this
,SKOS,"For lists of words that are labels, not objects",Our benefits: 'Hydrating' and 'Hydration' become one concept with two labels,w3.org/TR/skos-reference,YES,"Benefits are terms people use, not logical classes"
,Dublin Core,"The basic bookkeeping vocabulary: title, creator, licence, date",Makes the dataset and ontology citable,dublincore.org,YES,Cheap and expected
,OUTSIDE DATA WE LINK TO,,,,,
,CosIng,"The European Commission's official cosmetic ingredient register, 28,573 entries",Our ingredients get a legal status from it. Already linked on 99.2% of products with a formula,ec.europa.eu/growth/tools-databases/cosing,YES,It is the whole point
,CosIng-KG,"CosIng already converted to RDF, on GitHub",Could be our entire ingredient layer for free,github.com/biobricks-ai/cosing-kg,CHECK FIRST,"If usable, we cite it and save weeks. If not, our own conversion is a contribution"
,DermO,"3,000 skin disease terms written by dermatologists, on BioPortal","Our concerns (eczema, rosacea, acne) point at real clinical terms aligned to ICD-10",bioportal.bioontology.org/ontologies/DERMO,YES,Six lines of alignment fix the fact that no clinician has checked our vocabulary
,Wikidata,Wikipedia's facts as a queryable graph,Tells us who owns each brand. L'Oreal owns 570 of our products,wikidata.org,YES,"One line per brand, and we get ownership and country for free"
,DBpedia,"Wikipedia turned into a graph, older cousin of Wikidata",Abesova pulled countries and map coordinates from it,dbpedia.org,MAYBE,Wikidata is better maintained now
,BioPortal / OBO Foundry,Where biomedical ontologies live. OBO is the community with shared rules,DermO is on BioPortal. TOXIN reused TXPO from OBO,bioportal.bioontology.org,YES,We fetch DermO from here
,Linked Open Vocabularies (LOV),A search engine for existing vocabulary terms,Search 'price' before inventing skc:price,lov.linkeddata.es,YES,The one habit that separates an amateur ontology from a professional one
,CHECKING AND PUBLISHING,,,,,
,OOPS!,A free website that checks your ontology against 41 known design mistakes,"Paste the file, get a graded list: critical, important, minor",oops.linkeddata.es,YES,One afternoon for a real evaluation number nobody in group A has
,FOOPS!,"A free website that scores how FAIR your ontology is (findable, accessible, interoperable, reusable)","24 checks, a score, and what is missing",w3id.org/foops,YES,"We criticise everyone for not publishing, so we measure our own"
,OntoMetrics,"Structural numbers: depth, breadth, richness",Comparable figures for the evaluation table,ontometrics.uni-rostock.de,YES,Cheap and standard
,WIDOCO,Makes a documentation web page from the ontology file,So the docs cannot drift from the code,github.com/dgarijo/Widoco,YES,"Free, and it is what the w3id address will point at"
,w3id.org,A permanent web address for your ontology,Survives you leaving BAU. It is a pull request on GitHub,w3id.org,YES,A university URL dies when you graduate
,Zenodo,Gives a DOI to each release,The ontology becomes citable like a paper,zenodo.org,YES,One in six competitors publishes. This is how we do it properly
,METHODS,,,,,
,METHONTOLOGY,"An older, document-heavy method: glossary, taxonomies, relation diagrams, concept dictionary","The default in this field. bit-Tech, Utari and Mahadewi all use it. Moe & Aung follow it without naming it",search: METHONTOLOGY Fernandez-Lopez 1997,NO,"Thorough but old. We take its glossary step and use MOMo + LOT instead, with a stated reason"
,MOMo,"Modular Ontology Modeling. Build in modules using design patterns, draw before you write",Our four-module design follows it,search: Shimizu Modular Ontology Modeling 2022,YES,Names four reasons reuse fails and we have hit three of them
,LOT,"Linked Open Terms. Four steps: requirements, build, publish, maintain",Our project structure and publication discipline,lot.linkeddata.es,YES,"Built around reusing terms and publishing, which are the two things this field is worst at"
,Ontology Development 101,"Noy & McGuinness 2001, the seven-step teaching guide",Its class-vs-individual test told us Annex entries are individuals,protege.stanford.edu/publications/ontology_development/ontology101.pdf,CITE,Everyone cites it. Too light to be our only method
,Competency questions,"Questions the ontology must be able to answer, written BEFORE building",Our 15 questions become our 15 SPARQL queries become our evaluation chapter. COPPER did the same,in 06_ontology_master_plan.md,YES,Turns 'is it good' into something measurable
,THINGS THE PAPERS USED THAT WE DON'T,,,,,
,CCBR,"Conversational case-based reasoning. Narrow a problem by asking questions, like a doctor",Moe & Aung: six questions turn 'I have acne' into 'papules',in the Moe & Aung paper,NO,Needs a hand-built case base and a dermatologist
,Ford-Fulkerson,A maximum-flow algorithm. Water through pipes,Moe & Aung score products by how much flow reaches them,search: Ford-Fulkerson algorithm,NO,A weighted filter does the same for us with less machinery
,CNN,"Convolutional neural network, a model that reads images",Hansanie & Silva grade acne from a photo. Lee et al. read the face,search: convolutional neural network,NO,"No photos, no ethics approval. Could plug in later"
,Graph attention network,A neural net that passes messages between connected nodes,HaCKG predicts halal status with one,search: relational graph attention network,NO,Future work. Needs interaction data
,AHP,Analytic Hierarchy Process. Weigh several criteria by comparing them in pairs,"Formultools ranks ingredients on performance, origin and price with it",search: Saaty AHP 1987,MAYBE,"Could rank products on price, availability and evidence. Not needed yet"
,AttrakDiff / SUS,Standard questionnaires for user experience and usability,Formultools used AttrakDiff between iterations. Mahadewi reported SUS 82,"attrakdiff.de, search: System Usability Scale",MAYBE,If we ever build an interface. Cheap and standard
,"Precision, recall, F-measure, MAE",Standard accuracy measures,"Moe & Aung, Hansanie, E-Prod and Mahadewi all report some of these",any ML textbook,NO,"FEVR says match the evaluation to the goal. Ours is verifiable correctness, so competency questions and consistency instead"
,Slope One,A simple collaborative filtering algorithm,Mahadewi predicts ratings with it,search: Slope One,NO,Needs a ratings matrix we do not have
,SMILES,A text way of writing a molecule's structure,TOXIN adds it so every chemical has one identity,search: SMILES chemistry,NO,"We have CAS numbers from CosIng, same job"
,TXPO,The ToXic Process Ontology from OBO Foundry,TOXIN's backbone ontology,obofoundry.org,NO,Too deep into toxicology mechanisms for us
