product_id,source_category,brand,name,product_type,country,product_url,skin_type,sensitivity,skin_type_source,ingredients,ingredient_count,key_ingredients,free_from,spf,benefits,concerns,price_usd,price_source,size_value,size_unit,size_ml,price_lbp,price_lbp_rate,price_per_ml,price_tier,rating,rating_count,rating_source,review_texts_json,shops_in_lebanon,image_url,image_source,product_summary,price_seen_date,sold_by_shops,price_usd_lowest,price_usd_highest,ingredient_functions,cosing_matched,cosing_coverage,restricted_ingredients
GLB-00803,Global (Skinsort),Oskia,Super-C - 60 x Smart Nutrient Beauty Capsules - Vitamin C Serum Capsules,Serum,United Kingdom,https://skinsort.com/products/oskia/super-c-60-x-smart-nutrient-beauty-capsules-vitamin-c-serum-capsules,All,Resistant,www.oskiaskincare.com,"SIMMONDSIA CHINENSIS SEED OIL, OCTYLDODECANOL, PRUNUS AMYGDALUS DULCIS OIL, TOCOPHERYL ACETATE, ASCORBYL TETRAISOPALMITATE, SOLANUM LYCOPERSICUM FRUIT EXTRACT, TOCOTRIENOLS, PHYTOSTEROLS, TOCOPHEROL, SQUALANE, SQUALENE, ELAEIS GUINEENSIS OIL, PARFUM, LIMONENE, LINALOOL",15,"Vitamin C, Vitamin E, Squalane, Jojoba Oil","Parabens, Alcohol, Silicones, Sulfates, Mineral Oil",,"Hydrating, Barrier Repair, Anti-Aging, Brightening, Dark Spots, Reduces Irritation","May Worsen Eczema, May Worsen Rosacea, May Worsen Irritation",129.26,oskiaskincare.com,,,,11568770,89500,,premium,4.5,2,skinsort,"[{""rating"": """", ""skin_type"": ""Dry Skin"", ""text"": ""Great vitamin C. The little capsules makes it very practical for travel. Smells like orange juice and has the consistency of a very light oil, lighter than Medik8 C Tetra"", ""tags"": ""light, light scent, works well"", ""date"": ""February 2024""}, {""rating"": """", ""skin_type"": ""Oily Skin"", ""text"": ""As Vit C is water soluble, it breaks down when exposed to O2, due to this most Vit C products are constantly losing their potency with every use. These capsules ensure youâ€™re not wasting your money. It is great for breakouts and texture!"", ""tags"": """", ""date"": ""November 2023""}]",0,https://www.oskiaskincare.com/cdn/shop/files/SUPER-C-SMART-NUTRIENT-BEAUTY-CAPSULES--60-capsules-8-720x720-22b9cf64-7943-4f79-91e8-688161b34977.jpg?v=1757280700&width=1445,found by image search on the brand's own site,"A highly rated serum with 15 ingredients, including vitamin C and vitamin E.",2026-08-21,,,,"Skin Conditioning, Skin Conditioning - Emollient, Perfuming, Antioxidant, Hair Conditioning, Fragrance, Refatting, Deodorant",15,100,"Limonene, Linalool"
GLB-04628,Global (Skinsort),Dior,Sauvage After-Shave Lotion,Bath & Body,France,https://skinsort.com/products/dior/sauvage-after-shave-lotion,All,Resistant,www.amazon.com,"ALCOHOL, AQUA, PARFUM, ETHYLHEXYL METHOXYCINNAMATE, LIMONENE, LINALOOL, BISABOLOL, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL SALICYLATE, BHA, CITRONELLOL, COUMARIN, MENTHOXYPROPANEDIOL, CITRAL, GERANIOL, TOCOPHEROL",16,"Vitamin E, Salicylic Acid, Chamomile, UV Filters","Parabens, Alcohol, Silicones, Sulfates, Mineral Oil",,"Hydrating, Redness Reducing, Barrier Repair, Anti-Aging, Brightening, Reduces Irritation, Scar Healing","May Worsen Irritation, May Worsen Rosacea, May Worsen Eczema, May Worsen Dryness",92.05,Nordstrom,,,,8238475,89500,,premium,4.77,6677,Nordstrom,,0,https://www.dior.com/on/demandware.static/-/Sites-master_dior/default/dw2d6b8607/Y0006550/Y0006550_F000655000_E01_RHC.jpg,found by image search on the brand's own site,"A grooming with 16 ingredients, including vitamin E.",2026-08-23,,,,"Perfuming, Fragrance, Solvent, Light Stabilizer, Uv Absorber, Uv Filter, Deodorant, Skin Conditioning",16,100,"Butyl Methoxydibenzoylmethane, Citral, Citronellol, Coumarin, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate"
GLB-05328,Global (Skinsort),King of Shaves,Soothing Aftershave Balm,Bath & Body,United Kingdom,https://skinsort.com/products/king-of-shaves/soothing-aftershave-balm,All,Resistant,chemimartgroup.com,"AQUA, CAPRYLIC ACID, GLYCERIN, MACADAMIA TERNIFOLIA SEED OIL, PRUNUS ARMENIACA KERNEL OIL, PHENOXYETHANOL, PENTAERYTHRITYL DISTEARATE, SODIUM POLYACRYLATE, PANTHENOL, TOCOPHERYL ACETATE, CHLORPHENESIN, TAURINE, SODIUM STEAROYL GLUTAMATE, ACANTHOPANAX SENTICOSUS ROOT EXTRACT, CHLORELLA VULGARIS POWDER",15,"Vitamin E, Panthenol","Fragrance, Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,"Hydrating, Barrier Repair, Scar Healing, Brightening, Reduces Irritation, Redness Reducing",None identified in the formula,17.43,Maggard Razors,,,,1559985,89500,,mid,4.36,40,Maggard Razors,,0,https://www.chemimartgroup.com/wp-content/uploads/2020/05/Soothing-Aftershave-Balm.jpg,found by image search on another retailer,"A grooming with 15 ingredients, including vitamin E.",2026-08-24,,,,"Skin Conditioning, Surfactant - Emulsifying, Hair Conditioning, Solvent, Cleansing, Fragrance, Perfuming, Viscosity Controlling",15,100,"Chlorphenesin, Phenoxyethanol"
GLB-05451,Global (Skinsort),Dior,Sauvage After-Shave Balm,Bath & Body,France,https://skinsort.com/products/dior/sauvage-after-shave-balm,All,Sensitive,www.macys.com,"AQUA, CAPRYLIC/CAPRIC TRIGLYCERIDE, COCO-CAPRYLATE/CAPRATE, GLYCERIN, BUTYLENE GLYCOL, PARFUM, STEARETH-21, CETYL ALCOHOL, STEARYL ALCOHOL, 1,2-HEXANEDIOL, PENTYLENE GLYCOL, BUTYROSPERMUM PARKII BUTTER, CELLULOSE, SILICA, STEARETH-2, CHLORPHENESIN, CARBOMER, XANTHAN GUM, SODIUM HYDROXIDE, OPUNTIA COCCINELLIFERA FLOWER EXTRACT, TRIETHYL CITRATE, CAPRYLYL GLYCOL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, GLYCINE SOJA OIL, TOCOPHEROL",26,"Vitamin E, Shea Butter","Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,"Hydrating, Barrier Repair, Good For Oily Skin, Dark Spots, Anti-Aging, Brightening, Reduces Irritation, Reduces Large Pores","May Trigger Acne, May Worsen Oily Skin, May Worsen Eczema, May Worsen Rosacea",71.12,Databazaar.com,,,,6365240,89500,,premium,4.75,7567,Databazaar.com,,0,https://www.dior.com/dw/image/v2/BGXS_PRD/on/demandware.static/-/Sites-master_dior/en_US/dw6bd3b54d/Y0996474/Y0996474_C099600671_E01_GHC.jpg?sw=800,found by image search on the brand's own site,"A grooming with 25 ingredients, including exfoliants and vitamin E.",2026-08-24,,,,"Skin Conditioning, Viscosity Controlling, Fragrance, Perfuming, Skin Conditioning - Emollient, Surfactant - Cleansing, Surfactant - Emulsifying, Solvent",24,96,"Chlorphenesin, Sodium Hydroxide"
GLB-05830,Global (Skinsort),Tom's of Maine,Antiperspirant - Natural Powder,Bath & Body,Unspecified,,All,Sensitive,"tier 4, inferred: a general purpose formula","ALUMINUM CHLOROHYDRATE, ELAEIS GUINEENSIS KERNEL OIL, STEARYL ALCOHOL, DICAPRYLYL ETHER, HYDROGENATED SOYBEAN OIL, HYDROGENATED CASTOR OIL, PARFUM, PALMITOYL OLIVE LEAF EXTRACT, MALTODEXTRIN",9,Peptides,"Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,Acne Fighting,May Trigger Acne,,,,,,,,,,,,,,0,https://i5.walmartimages.com/seo/Tom-s-Of-Maine-Naturally-Dry-Womens-Antiperspirant-Stick-Deodorant-Natural-Powder-2-25-Ounce_48fc76a0-62f5-485e-a04e-768caff89f22.98f7cfa81c4fbbc90f504dcc57cec4db.jpeg,found by image search on another retailer,,,,,,"Skin Conditioning - Emollient, Skin Conditioning, Viscosity Controlling, Emulsion Stabilising, Fragrance, Surfactant - Cleansing, Surfactant - Emulsifying, Antiperspirant",9,100,
GLB-05842,Global (Skinsort),megababe,Rosy Pits Daily Deodorant,Bath & Body,United States,https://megababebeauty.com/products/rosy-pits?srsltid=AfmBOopDUj6sm_OGcSmIzb_VLBVNgQoJCzXjtbMUS1Kd5Km1MrK0J0Rv,All,Sensitive,megababebeauty.com,"PROPYLENE GLYCOL, AQUA, SODIUM STEARATE, SACCHAROMYCES FERMENT, PROPANEDIOL, ZEA MAYS STARCH, PARFUM, HYDRATED SILICA, ROSA DAMASCENA FLOWER OIL, SQUALANE, SALIX ALBA BARK EXTRACT, CAFFEINE, ARGININE, AVENA SATIVA KERNEL FLOUR, GLYCERIN, CAMELLIA SINENSIS LEAF EXTRACT, ALOE BARBADENSIS LEAF JUICE, SALVIA OFFICINALIS LEAF EXTRACT, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, COCOS NUCIFERA OIL, SILICA CETYL SILYLATE, ETHYLHEXYLGLYCERIN, HYDROGENATED OLIVE OIL UNSAPONIFIABLES, PHENOXYETHANOL, SODIUM BENZOATE, POTASSIUM SORBATE",26,"Aloe Vera, Squalane, Caffeine, Green Tea, Rose, Oat","Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,Acne Fighting,May Trigger Acne,14.0,Nordstrom,,,,1253000,89500,,mid,3.97,3773,Nordstrom,,0,https://megababebeauty.com/cdn/shop/files/rosy_1200x630.webp?v=1764739625,og:image,,2026-08-24,,,,"Skin Conditioning, Viscosity Controlling, Fragrance, Hair Conditioning, Solvent, Perfuming, Humectant, Abrasive",26,100,"Phenoxyethanol, Potassium Sorbate, Sodium Benzoate"
GLB-05854,Global (Skinsort),Dior,Sauvage Stick Deodorant,Bath & Body,France,,All,Resistant,"tier 4, inferred: a general purpose formula","PROPYLENE GLYCOL, AQUA, SODIUM STEARATE, NYLON-12, PARFUM, LAURETH-23, ETHYLHEXYLGLYCERIN, LINALOOL, COUMARIN, SODIUM HYDROXIDE, CITRONELLOL, CITRAL, BHA, LIMONENE, GERANIOL, TOCOPHEROL",16,"Vitamin E, Salicylic Acid","Parabens, Alcohol, Silicones, Sulfates, Mineral Oil",,Brightening,"May Worsen Irritation, May Worsen Rosacea, May Worsen Eczema",57.47,Walmart - AK Shelf LLC,,,,5143565,89500,,premium,4.62,4592,Walmart - AK Shelf LLC,,0,https://www.dior.com/on/demandware.static/-/Sites-master_dior/default/dw3b596016/Y0018020/Y0018020_F001802000_E01_GHC.jpg,found by image search on the brand's own site,,2026-08-24,,,,"Perfuming, Skin Conditioning, Solvent, Viscosity Controlling, Fragrance, Deodorant, Cleansing, Surfactant - Cleansing",16,100,"Citral, Citronellol, Coumarin, Geraniol, Limonene, Linalool"
GLB-05864,Global (Skinsort),Tom's of Maine,Women's Antiperspirant - Charcoal,Bath & Body,Unspecified,,Oily,Sensitive,"tier 4, inferred: oil absorbing or keratolytic actives, no occlusive","ALUMINUM CHLOROHYDRATE, ELAEIS GUINEENSIS KERNEL OIL, STEARYL ALCOHOL, DICAPRYLYL ETHER, HYDROGENATED SOYBEAN OIL, HYDROGENATED CASTOR OIL, PARFUM, OLEA EUROPAEA LEAF EXTRACT, CHARCOAL POWDER, MALTODEXTRIN",10,"Olive Oil, Charcoal","Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,Acne Fighting,May Trigger Acne,,,,,,,,,,,,,,0,https://www.instacart.com/image-server/1200x1200/www.instacart.com/assets/domains/product-image/file/large_a42c87d3-de75-4afb-8dd6-6a2df46ad3f4.jpg,found by image search on another retailer,,,,,,"Skin Conditioning - Emollient, Skin Conditioning, Viscosity Controlling, Emulsion Stabilising, Fragrance, Opacifying, Surfactant - Cleansing, Surfactant - Emulsifying",10,100,
GLB-05936,Global (Skinsort),Tom's of Maine,Antiperspirant - Vanilla,Bath & Body,Unspecified,,All,Sensitive,"tier 4, inferred: a general purpose formula","ALUMINUM CHLOROHYDRATE, ELAEIS GUINEENSIS KERNEL OIL, STEARYL ALCOHOL, DICAPRYLYL ETHER, HYDROGENATED SOYBEAN OIL, HYDROGENATED CASTOR OIL, PARFUM, OLEA EUROPAEA LEAF EXTRACT, MALTODEXTRIN",9,Olive Oil,"Parabens, Alcohol, Essential Oils, Silicones, Sulfates, Mineral Oil",,Acne Fighting,May Trigger Acne,,,,,,,,,,,,,,0,https://www.kroger.com/product/images/large/front/0003500099311,found by image search on another retailer,,,,,,"Skin Conditioning - Emollient, Skin Conditioning, Viscosity Controlling, Emulsion Stabilising, Fragrance, Surfactant - Cleansing, Surfactant - Emulsifying, Perfuming",9,100,
GLB-05937,Global (Skinsort),Sol De Janeiro,Brazilian Glossy™ Nourishing Hair Oil,Oil,United States,,Dry,Resistant,"tier 4, inferred: occlusives high in the formula, no astringent","DIMETHICONE, PHENYL TRIMETHICONE, COCO-CAPRYLATE, PARFUM, THEOBROMA GRANDIFLORUM SEED BUTTER, CARYOCAR BRASILIENSE FRUIT OIL, OENOCARPUS BATAUA FRUIT OIL, ORYZA SATIVA BRAN EXTRACT, HELIANTHUS ANNUUS EXTRACT, ROSMARINUS OFFICINALIS LEAF EXTRACT, TOCOPHEROL, ZEA MAYS OIL, TRIMETHYLSILOXYSILICATE, DIMETHICONOL, BENZYL ALCOHOL, BENZYL SALICYLATE, HYDROXYCITRONELLAL, COUMARIN, LIMONENE, CI 40800",20,Vitamin E,"Parabens, Alcohol, Sulfates, Mineral Oil",,"Anti-Aging, Scar Healing, Brightening",May Worsen Irritation,74.99,GoSupps Beauty,,,,6711605,89500,,premium,4.5,2701,GoSupps Beauty,,0,https://www.sephora.com/productimages/sku/s2535292-main-zoom.jpg,found by image search on a trusted retailer,,2026-08-24,,,,"Skin Conditioning, Perfuming, Skin Conditioning - Emollient, Antifoaming, Fragrance, Hair Conditioning, Skin Protecting, Moisturising",20,100,"Benzyl Alcohol, Benzyl Salicylate, Ci 40800, Coumarin, Hydroxycitronellal, Limonene"
