entity,list_name,level,asserted_by,basis,source_url,date_read
Ahava,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Listed as a cosmetics company accused of involvement in illegal Israeli settlements",https://www.ethicalconsumer.org/ethical-campaigns-boycotts/palestine-boycott-list,2026-09-10
Carrefour,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Franchise partnership with Electra Consumer Products; branch in a settlement",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Chevron,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Gas extraction in the East Mediterranean",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Intel,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Investment and manufacturing presence",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Dell,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Supply contract with the Israeli military",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Siemens,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Main contractor for the Euro-Asia Interconnector",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Hewlett Packard,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Services to Israeli government, military, prisons and police",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
HP,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Services to Israeli government, military, prisons and police",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Microsoft,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Azure cloud and AI services to the Israeli military",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
AXA,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Shareholdings in arms manufacturers",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Reebok,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Sponsorship contract with the Israel Football Association",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Disney+,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Cultural campaign target",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Teva Pharmaceutical Industries,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Israeli pharmaceutical company",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
SodaStream,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Labour and land practices in the Naqab",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
RE/MAX,BDS consumer boycott priority target,1,Palestinian BDS National Committee,"Markets property in Israeli settlements",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
McDonald's,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS. Franchisee donations to the Israeli military",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Coca-Cola,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
Burger King,BDS grassroots organic boycott target,2,Palestinian BDS National Committee,"Supported by BDS; campaign not initiated by BDS",https://bdsmovement.net/Guide-to-BDS-Boycott,2026-09-10
